Data Percentage,Num Images,Epoch,Accuracy
10,5996,0,74.43
10,5996,1,82.7
10,5996,2,86.24
10,5996,3,88.79
10,5996,4,88.69
10,5996,5,90.49
10,5996,6,90.67
10,5996,7,91.46
10,5996,8,92.11
10,5996,9,92.32
10,5996,10,91.98
20,11996,0,83.31
20,11996,1,88.89
20,11996,2,90.47
20,11996,3,92.05
20,11996,4,92.76
20,11996,5,92.97
20,11996,6,93.07
20,11996,7,93.58
20,11996,8,92.97
20,11996,9,93.75
20,11996,10,94.42
30,17995,0,86.56
30,17995,1,89.93
30,17995,2,92.13
30,17995,3,92.99
30,17995,4,93.44
30,17995,5,93.7
30,17995,6,93.65
30,17995,7,94.12
30,17995,8,94.34
30,17995,9,95.09
30,17995,10,94.15
40,23996,0,88.43
40,23996,1,91.83
40,23996,2,93.19
40,23996,3,93.66
40,23996,4,94.03
40,23996,5,94.19
40,23996,6,94.68
40,23996,7,94.59
40,23996,8,95.04
40,23996,9,95.17
40,23996,10,95.38
50,29997,0,89.88
50,29997,1,92.05
50,29997,2,93.39
50,29997,3,94.33
50,29997,4,94.62
50,29997,5,94.54
50,29997,6,95.43
50,29997,7,95.57
50,29997,8,95.01
50,29997,9,95.29
50,29997,10,95.18
60,35995,0,90.93
60,35995,1,92.94
60,35995,2,93.69
60,35995,3,94.31
60,35995,4,94.82
60,35995,5,94.55
60,35995,6,95.36
60,35995,7,95.37
60,35995,8,95.82
60,35995,9,95.46
60,35995,10,95.54
70,41995,0,91.02
70,41995,1,93.83
70,41995,2,94.35
70,41995,3,95.02
70,41995,4,95.04
70,41995,5,95.22
70,41995,6,95.49
70,41995,7,95.63
70,41995,8,95.51
70,41995,9,96.04
70,41995,10,96.09
80,47995,0,91.39
80,47995,1,93.7
80,47995,2,94.75
80,47995,3,94.9
80,47995,4,95.48
80,47995,5,95.66
80,47995,6,95.51
80,47995,7,95.92
80,47995,8,96.15
80,47995,9,95.99
80,47995,10,96.15
90,53994,0,92.04
90,53994,1,93.34
90,53994,2,94.47
90,53994,3,95.43
90,53994,4,95.71
90,53994,5,95.67
90,53994,6,95.28
90,53994,7,95.81
90,53994,8,96.03
90,53994,9,95.67
90,53994,10,96.05
100,60000,0,92.35
100,60000,1,93.87
100,60000,2,94.73
100,60000,3,95.13
100,60000,4,95.85
100,60000,5,95.77
100,60000,6,95.9
100,60000,7,95.93
100,60000,8,95.98
100,60000,9,96.41
100,60000,10,96.3
